id,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
99,25,-27,-18,1035,NW,213.65,0,0
100,28,-27,-19,1035,NW,218.57,0,0
101,28,-27,-16,1034,NE,4.92,0,0
102,27,-26,-16,1035,NE,8.05,0,0
103,27,-27,-16,1034,NE,13.86,0,0
104,27,-26,-16,1035,NE,18.78,0,0
105,29,-26,-15,1035,NE,24.59,0,0
106,36,-25,-14,1035,NE,29.51,0,0
107,30,-25,-13,1035,NE,34.43,0,0
108,27,-25,-12,1034,NE,39.35,0,0
109,39,-24,-11,1032,NE,41.14,0,0
110,41,-22,-11,1032,cv,0.89,0,0
111,33,-23,-11,1031,NW,1.79,0,0
112,50,-24,-11,1031,NW,3.58,0,0
113,56,-23,-11,1031,NW,5.37,0,0
114,59,-23,-11,1032,NW,7.16,0,0
115,60,-22,-13,1033,NW,10.29,0,0
116,84,-22,-12,1033,NW,13.42,0,0
117,106,-24,-18,1033,NW,16.55,0,0
118,66,-22,-13,1034,NW,20.57,0,0
119,50,-22,-16,1033,NW,23.7,0,0
120,56,-25,-17,1033,NW,26.83,0,0
121,77,-25,-14,1033,NE,4.02,0,0
122,50,-26,-14,1034,NE,8.04,0,0
123,44,-26,-14,1033,NE,13.85,0,0
124,27,-26,-14,1033,NE,17.87,0,0
125,28,-26,-14,1033,NE,23.68,0,0
126,21,-26,-14,1033,NE,28.6,0,0
127,25,-26,-15,1034,NE,33.52,0,0
128,20,-26,-14,1034,NE,39.33,0,0
129,29,-25,-13,1035,NE,44.25,0,0
130,34,-25,-12,1035,NE,50.06,0,0
131,42,-24,-11,1035,NE,54.98,0,0
132,28,-24,-10,1034,NE,59,0,0
133,36,-22,-10,1033,NW,4.02,0,0
134,48,-22,-9,1033,NW,5.81,0,0
135,49,-22,-8,1033,cv,0.89,0,0
136,52,-22,-8,1033,NW,1.79,0,0
137,56,-21,-9,1033,NW,3.58,0,0
138,96,-22,-9,1033,NW,5.37,0,0
139,75,-22,-14,1034,cv,0.89,0,0
140,105,-22,-12,1035,NW,1.79,0,0
141,132,-21,-14,1034,NW,3.58,0,0
142,93,-22,-16,1035,NW,5.37,0,0
143,131,-21,-16,1035,NW,7.16,0,0
144,127,-21,-16,1035,NW,8.95,0,0
145,130,-21,-16,1035,cv,0.45,0,0
146,43,-22,-18,1036,cv,1.34,0,0
147,37,-23,-15,1036,NW,4.02,0,0
148,30,-24,-16,1035,NW,7.15,0,0
149,28,-25,-15,1035,NW,10.28,0,0
150,24,-24,-15,1035,NW,14.3,0,0
151,23,-25,-13,1036,NE,4.92,0,0
152,24,-24,-14,1036,NW,4.02,0,0
153,27,-23,-12,1036,NW,8.94,0,0
154,40,-22,-11,1036,NW,12.96,0,0
155,42,-20,-10,1036,NW,16.09,0,0
156,42,-21,-9,1035,NW,19.22,0,0
157,55,-21,-8,1034,NW,21.01,0,0
158,52,-20,-7,1033,NW,22.8,0,0
159,51,-20,-7,1032,NW,24.59,0,0
160,57,-18,-8,1032,NW,26.38,0,0
161,50,-19,-9,1032,NW,28.17,0,0
162,54,-19,-11,1032,NE,0.89,0,0
163,67,-18,-11,1033,NW,1.79,0,0
164,106,-19,-15,1032,NE,1.79,0,0
165,159,-19,-14,1032,cv,0.45,0,0
166,198,-21,-14,1032,cv,1.34,0,0
167,190,-21,-16,1032,cv,2.23,0,0
168,210,-21,-17,1031,NW,1.79,0,0
169,195,-19,-16,1031,NW,3.58,0,0
170,275,-20,-16,1031,NE,0.89,0,0
171,164,-19,-15,1030,SE,0.89,0,0
172,110,-18,-15,1030,cv,0.45,0,0
173,100,-18,-15,1029,cv,1.34,0,0
174,81,-18,-15,1029,NW,1.79,0,0
175,71,-16,-13,1029,NE,0.89,0,0
176,66,-16,-12,1029,SE,0.89,0,0
177,92,-16,-12,1030,SE,1.78,0,0
178,135,-17,-10,1030,NE,0.89,0,0
179,155,-16,-10,1029,cv,0.89,0,0
180,198,-16,-9,1028,SE,3.13,0,0
181,250,-15,-8,1026,SE,4.92,0,0
182,200,-16,-8,1026,cv,0.89,0,0
183,231,-16,-8,1025,cv,1.78,0,0
184,250,-16,-8,1025,cv,2.67,0,0
185,212,-17,-8,1025,SE,0.89,0,0
186,219,-17,-9,1026,cv,0.45,0,0
187,227,-17,-11,1026,cv,1.34,0,0
188,226,-17,-12,1026,cv,1.79,0,0
189,225,-18,-14,1027,NW,1.79,0,0
190,168,-16,-9,1027,NW,4.92,0,0
191,169,-16,-11,1027,NW,6.71,0,0
192,165,-17,-13,1027,cv,0.89,0,0
193,159,-17,-13,1027,NW,3.13,0,0
194,167,-17,-14,1027,NW,4.92,0,0
195,196,-17,-15,1027,NW,8.05,0,0
196,169,-17,-13,1027,NW,9.84,0,0
197,155,-19,-16,1027,NW,13.86,0,0
198,119,-18,-15,1027,NW,17.88,0,0
199,106,-19,-15,1027,NW,21.9,0,0
200,93,-18,-14,1028,NW,25.92,0,0
201,84,-18,-9,1029,NE,5.81,0,0
202,73,-17,-7,1029,NE,11.62,0,0
203,66,-17,-6,1030,NE,17.43,0,0
204,40,-16,-6,1029,NE,23.24,0,0
205,49,-16,-5,1029,NE,28.16,0,0
206,50,-15,-4,1029,NE,33.08,0,0
207,49,-14,-4,1028,NE,37.1,0,0
208,41,-15,-4,1029,NE,38.89,0,0
209,37,-15,-4,1030,NW,1.79,0,0
210,45,-15,-7,1030,NE,3.13,0,0
211,44,-15,-6,1031,NW,3.13,0,0
212,54,-15,-7,1032,NW,4.92,0,0
213,50,-15,-6,1032,NE,3.13,0,0
214,47,-15,-8,1033,cv,0.45,0,0
215,66,-15,-8,1033,cv,0.9,0,0
216,75,-15,-11,1033,NW,0.89,0,0
217,82,-17,-13,1033,NW,1.78,0,0
218,66,-17,-12,1033,NW,4.91,0,0
219,83,-17,-13,1033,NW,8.04,0,0
220,62,-19,-14,1032,NW,9.83,0,0
221,40,-18,-13,1032,NW,12.96,0,0
222,23,-19,-13,1032,NW,16.09,0,0
223,25,-19,-14,1033,NW,19.22,0,0
224,27,-19,-14,1034,NW,22.35,0,0
225,35,-17,-12,1033,NW,24.14,0,0
226,50,-16,-7,1033,NE,4.02,0,0
227,70,-15,-7,1033,NW,3.13,0,0
228,75,-15,-7,1032,NW,6.26,0,0
229,58,-14,-6,1031,NW,9.39,0,0
230,70,-14,-6,1031,NW,12.52,0,0
231,68,-13,-5,1030,NW,14.31,0,0
232,71,-14,-5,1031,NW,16.1,0,0
233,88,-14,-6,1031,NW,19.23,0,0
234,84,-13,-7,1032,NW,23.25,0,0
235,83,-15,-6,1032,NW,27.27,0,0
236,66,-15,-6,1033,NW,30.4,0,0
237,27,-15,-4,1034,NW,35.32,0,0
238,24,-16,-4,1034,NW,44.26,0,0
239,22,-17,-5,1035,NW,52.31,0,0
240,23,-17,-6,1035,NW,60.36,0,0
241,27,-17,-8,1035,cv,0.89,0,0
242,23,-19,-11,1036,NW,4.02,0,0
243,17,-20,-11,1036,NW,8.94,0,0
244,17,-21,-11,1035,NE,4.02,0,0
245,16,-22,-12,1035,NW,3.13,0,0
246,16,-22,-12,1035,NE,4.92,0,0
247,20,-22,-13,1036,NW,5.81,0,0
248,20,-22,-9,1036,NW,13.86,0,0
249,18,-22,-10,1036,NW,21.91,0,0
250,25,-22,-9,1036,NW,29.06,0,0
251,26,-21,-9,1036,NW,33.08,0,0
252,27,-20,-6,1035,NW,42.02,0,0
253,28,-19,-5,1034,NW,50.96,0,0
254,15,-19,-5,1033,NW,59.01,0,0
255,24,-20,-5,1033,NW,66.16,0,0
256,13,-20,-5,1032,NW,71.97,0,0
257,13,-20,-5,1033,NW,76.89,0,0
258,13,-20,-7,1033,NW,81.81,0,0
259,17,-22,-7,1033,NW,85.83,0,0
260,20,-22,-8,1033,NW,89.85,0,0
261,27,-23,-10,1033,NW,91.64,0,0
262,20,-23,-13,1033,NW,93.43,0,0
263,15,-22,-12,1032,cv,0.89,0,0
264,21,-22,-15,1031,cv,1.78,0,0
265,21,-22,-14,1031,NE,1.79,0,0
266,37,-22,-14,1031,NW,0.89,0,0
267,26,-24,-18,1030,NE,1.79,0,0
268,15,-24,-13,1030,NE,3.58,0,0
269,9,-25,-14,1030,NW,3.13,0,0
270,11,-24,-14,1030,NW,7.15,0,0
271,11,-25,-12,1030,NW,12.96,0,0
272,16,-26,-14,1030,NW,16.98,0,0
273,13,-25,-12,1031,NW,21,0,0
274,15,-25,-11,1031,NW,26.81,0,0
275,21,-24,-11,1030,NW,35.75,0,0
276,24,-23,-11,1029,NW,47.82,0,0
277,22,-22,-11,1029,NW,63.02,0,0
278,22,-23,-11,1029,NW,75.98,0,0
279,22,-22,-11,1029,NW,88.05,0,0
280,19,-23,-11,1030,NW,101.01,0,0
281,23,-24,-11,1030,NW,109.06,0,0
282,25,-24,-11,1032,NW,118,0,0
283,25,-23,-11,1032,NW,126.05,0,0
284,31,-23,-12,1032,NW,134.1,0,0
285,25,-24,-12,1033,NW,142.15,0,0
286,22,-23,-12,1033,NW,150.2,0,0
287,22,-23,-12,1034,NW,160.03,0,0
288,15,-24,-12,1034,NW,169.86,0,0
289,16,-24,-12,1033,NW,178.8,0,0
290,11,-25,-12,1033,NW,189.98,0,0
291,11,-24,-13,1033,NW,198.03,0,0
292,12,-25,-12,1032,NW,205.18,0,0
293,11,-25,-12,1033,NW,215.01,0,0
294,12,-25,-12,1032,NW,226.19,0,0
295,27,-25,-12,1032,NW,235.13,0,0
296,28,-25,-12,1032,NW,243.18,0,0
297,34,-23,-11,1033,NW,252.12,0,0
298,33,-23,-10,1033,NW,257.93,0,0
299,36,-22,-9,1033,NW,263.74,0,0
300,26,-21,-8,1031,NW,270.89,0,0
301,49,-21,-6,1030,NW,278.94,0,0
302,52,-20,-5,1029,NW,286.99,0,0
303,47,-22,-5,1028,NW,294.14,0,0
304,47,-21,-5,1028,NW,299.06,0,0
305,39,-19,-7,1028,SE,1.79,0,0
306,59,-19,-8,1028,cv,0.45,0,0
307,76,-20,-9,1028,cv,1.34,0,0
308,96,-19,-10,1027,SE,1.79,0,0
309,95,-19,-13,1027,cv,0.89,0,0
310,68,-18,-12,1027,cv,1.78,0,0
311,65,-18,-13,1027,NE,0.89,0,0
312,75,-18,-14,1026,NE,1.78,0,0
313,257,-20,-15,1025,NE,2.67,0,0
314,174,-20,-15,1025,NW,0.89,0,0
315,164,-20,-16,1025,NW,1.78,0,0
316,161,-20,-16,1024,NW,3.57,0,0
317,137,-21,-17,1024,NW,6.7,0,0
318,92,-19,-14,1023,NW,10.72,0,0
319,64,-21,-17,1023,NW,13.85,0,0
320,87,-19,-15,1024,NW,15.64,0,0
321,87,-19,-14,1024,NW,18.77,0,0
322,84,-18,-10,1024,NW,22.79,0,0
323,95,-17,-9,1023,NW,24.58,0,0
324,79,-16,-6,1023,NW,26.37,0,0
325,75,-17,-5,1022,NW,28.16,0,0
326,79,-16,-5,1022,NW,29.95,0,0
327,86,-15,-4,1022,NW,33.08,0,0
328,72,-16,-4,1023,cv,0.89,0,0
329,89,-15,-5,1025,SE,1.79,0,0
330,94,-14,-3,1026,NW,5.81,0,0
331,69,-16,-3,1027,NW,11.62,0,0
332,49,-15,-4,1029,NW,20.56,0,0
333,33,-16,-5,1031,NW,24.58,0,0
334,27,-17,-6,1032,NE,3.13,0,0
335,20,-18,-6,1033,NE,8.05,0,0
336,36,-19,-7,1034,NE,13.86,0,0
337,37,-17,-8,1035,NW,5.81,0,0
338,30,-18,-10,1035,NW,11.62,0,0
339,18,-19,-10,1036,NW,14.75,0,0
340,21,-19,-9,1036,NW,19.67,0,0
341,13,-19,-9,1036,NE,7.15,0,0
342,23,-20,-9,1037,NE,12.96,0,0
343,26,-19,-9,1037,NE,18.77,0,0
344,27,-19,-8,1038,NE,22.79,0,0
345,30,-19,-8,1039,NE,28.6,0,0
346,28,-19,-7,1039,NE,35.75,0,0
347,26,-18,-6,1039,NE,41.56,0,0
348,26,-18,-5,1039,NE,45.58,0,0
349,31,-17,-4,1038,NW,1.79,0,0
350,35,-16,-3,1037,cv,0.89,0,0
351,36,-17,-3,1037,cv,1.78,0,0
352,37,-17,-2,1037,cv,2.23,0,0
353,64,-15,-5,1036,SE,0.89,0,0
354,83,-15,-6,1036,cv,0.89,0,0
355,91,-15,-6,1037,cv,1.78,0,0
356,90,-14,-6,1037,SE,1.79,0,0
357,102,-14,-8,1036,SE,3.58,0,0
358,94,-14,-10,1037,cv,0.89,0,0
359,87,-15,-11,1036,cv,1.78,0,0
360,141,-15,-11,1036,cv,2.67,0,0
361,211,-16,-13,1036,NE,0.89,0,0
362,242,-16,-12,1036,cv,0.89,0,0
363,271,-16,-13,1035,NE,0.89,0,0
364,249,-15,-12,1035,NE,1.78,0,0
365,200,-14,-10,1034,NW,1.79,0,0
366,147,-15,-10,1034,NW,2.68,0,0
367,114,-15,-11,1034,NW,4.47,0,0
368,102,-15,-11,1034,NW,6.26,0,0
369,108,-14,-9,1034,NW,8.05,0,0
370,135,-14,-9,1034,NW,9.84,0,0
371,120,-13,-6,1034,cv,0.89,0,0
372,148,-13,-5,1033,NW,1.79,0,0
373,127,-12,-4,1031,cv,0.89,0,0
374,128,-12,-3,1031,cv,1.78,0,0
375,140,-12,-3,1030,cv,2.67,0,0
376,148,-11,-3,1030,cv,3.56,0,0
377,150,-11,-4,1031,NE,0.89,0,0
378,154,-12,-7,1031,cv,0.89,0,0
379,197,-12,-7,1032,cv,1.78,0,0
380,235,-12,-8,1032,cv,2.23,0,0
381,261,-12,-9,1032,cv,3.12,0,0
382,269,-13,-11,1032,NW,0.89,0,0
383,266,-14,-11,1032,NW,2.68,0,0
384,263,-15,-12,1032,NW,5.81,0,0
385,241,-14,-11,1032,cv,0.45,0,0
386,205,-14,-11,1031,cv,1.34,0,0
387,160,-14,-12,1031,NW,1.79,0,0
388,150,-14,-12,1031,NW,3.58,0,0
389,148,-14,-10,1030,NW,6.71,0,0
390,208,-14,-11,1030,NW,9.84,0,0
391,209,-15,-10,1030,NW,11.63,0,0
392,183,-13,-10,1030,NW,14.76,0,0
393,161,-13,-8,1030,NW,17.89,0,0
394,182,-12,-6,1030,cv,0.45,0,0
395,230,-11,-5,1030,cv,1.34,0,0
396,170,-11,-4,1029,cv,2.23,0,0
397,172,-11,-3,1028,cv,3.12,0,0
398,154,-10,-1,1027,cv,4.01,0,0
399,166,-11,-1,1027,cv,4.46,0,0
400,177,-10,-1,1026,SE,0.89,0,0
401,191,-10,-3,1026,SE,1.78,0,0
402,212,-10,-5,1027,SE,2.67,0,0
403,250,-10,-6,1027,NE,0.89,0,0
404,268,-11,-7,1027,cv,0.45,0,0
405,317,-10,-7,1027,cv,0.9,0,0
406,291,-11,-9,1027,cv,1.35,0,0
407,313,-12,-9,1027,NE,0.89,0,0
408,282,-12,-10,1028,cv,0.89,0,0
409,282,-13,-11,1028,NW,3.13,0,0
410,303,-11,-9,1028,NW,4.92,0,0
411,349,-13,-10,1028,NW,6.71,0,0
412,407,-13,-11,1028,NW,7.6,0,0
413,361,-13,-11,1027,NE,1.79,0,0
414,234,-14,-11,1028,NW,0.89,0,0
415,149,-14,-11,1028,NW,4.02,0,0
416,147,-14,-11,1028,NW,5.81,0,0
417,184,-11,-6,1028,NW,9.83,0,0
418,161,-10,-5,1028,NW,11.62,0,0
419,137,-9,-3,1028,NW,13.41,0,0
420,146,-8,-1,1027,NW,15.2,0,0
421,144,-9,0,1026,NW,16.99,0,0
422,154,-9,1,1025,NE,1.79,0,0
423,173,-9,1,1025,cv,0.89,0,0
424,188,-8,1,1025,SE,0.89,0,0
425,203,-7,-1,1025,SE,2.68,0,0
426,233,-7,-2,1025,cv,0.89,0,0
427,408,-7,-3,1025,SE,0.89,0,0
428,435,-5,-2,1026,cv,0.89,0,0
429,403,-5,-1,1026,NW,1.79,0,0
430,360,-5,-1,1026,NW,3.58,0,0
431,402,-6,-1,1026,cv,0.89,0,0
432,358,-4,-1,1025,NW,1.79,0,0
433,383,-5,-1,1024,NW,4.92,0,0
434,332,-5,-1,1024,NW,6.71,0,0
435,274,-5,-1,1023,NW,8.5,0,0
436,256,-4,-1,1022,NW,10.29,0,0
437,302,-4,-1,1021,NW,11.18,0,0
438,330,-4,-1,1021,NW,12.07,0,0
439,367,-4,-1,1021,NW,13.86,0,0
440,297,-4,0,1021,cv,0.89,0,0
441,331,-4,0,1021,NW,1.79,0,0
442,323,-4,0,1021,cv,0.89,0,0
443,339,-5,1,1021,NW,1.79,0,0
444,301,-5,1,1020,cv,0.89,0,0
445,310,-4,1,1019,cv,1.34,0,0
446,305,-4,1,1018,NE,0.89,0,0
447,313,-3,2,1018,cv,0.45,0,0
448,336,-3,2,1018,cv,1.34,0,0
449,357,-2,2,1018,NE,0.89,0,0
450,485,-3,1,1018,cv,0.89,0,0
451,426,-3,2,1020,NW,1.79,0,0
452,403,-3,1,1020,NW,4.92,0,0
453,374,-3,0,1021,NW,6.71,0,0
454,333,-3,0,1021,NW,8.5,0,0
455,343,-3,1,1020,NW,11.63,0,0
456,364,-2,0,1021,NW,14.76,0,0
457,389,-2,-1,1022,NW,16.55,0,0
458,368,-4,-2,1022,NW,19.68,0,0
459,267,-2,-1,1023,NW,25.49,0,0
460,71,-3,1,1023,NW,28.62,0,0
461,81,-3,0,1024,NW,31.75,0,0
462,51,-5,2,1026,NW,36.67,0,0
463,49,-9,1,1027,NW,41.59,0,0
464,44,-10,0,1028,NW,48.74,0,0
465,45,-10,0,1030,NW,55.89,0,0
466,35,-11,1,1032,NW,63.04,0,0
467,29,-13,0,1033,NW,71.09,0,0
468,27,-13,0,1033,NW,78.24,0,0
469,29,-13,-1,1033,NE,8.05,0,0
470,16,-13,-1,1032,NW,7.15,0,0
471,23,-15,-1,1032,NE,5.81,0,0
472,28,-14,-1,1033,NW,5.81,0,0
473,22,-15,-2,1033,NW,12.96,0,0
474,11,-16,-3,1034,NW,21.01,0,0
475,25,-17,-4,1035,NW,28.16,0,0
476,16,-19,-3,1036,NW,37.99,0,0
477,20,-18,-4,1037,NW,46.93,0,0
478,20,-19,-4,1038,NW,55.87,0,0
479,18,-19,-5,1038,NW,65.7,0,0
480,18,-20,-6,1038,NW,75.53,0,0
481,17,-20,-6,1038,NW,85.36,0,0
482,17,-20,-7,1038,NW,95.19,0,0
483,17,-22,-8,1038,NW,103.24,0,0
484,15,-23,-8,1038,NW,111.29,0,0
485,19,-24,-9,1038,NW,118.44,0,0
486,16,-24,-9,1038,NW,128.27,0,0
487,18,-25,-9,1038,NW,138.1,0,0
488,18,-25,-8,1039,NW,147.04,0,0
489,18,-25,-8,1039,NW,155.98,0,0
490,26,-22,-7,1039,NW,160.9,0,0
491,26,-22,-7,1038,NE,3.13,0,0
492,25,-22,-5,1037,NW,4.02,0,0
493,24,-21,-5,1035,NE,3.13,0,0
494,15,-21,-4,1034,SE,1.79,0,0
495,17,-20,-3,1034,NE,1.79,0,0
496,15,-21,-2,1033,NW,4.92,0,0
497,21,-20,-2,1033,NW,10.73,0,0
498,40,-20,-2,1034,NW,15.65,0,0
499,51,-19,-3,1034,NW,21.46,0,0
500,45,-19,-3,1035,NW,25.48,0,0
501,61,-17,-8,1035,NE,0.89,0,0
502,72,-18,-9,1035,NW,1.79,0,0
503,38,-18,-9,1035,NW,3.58,0,0
504,35,-18,-6,1036,NW,7.6,0,0
505,29,-20,-4,1037,NW,17.43,0,0
506,26,-21,-5,1037,NW,27.26,0,0
507,18,-21,-6,1037,NW,35.31,0,0
508,15,-20,-7,1036,NW,42.46,0,0
509,15,-20,-7,1035,NW,48.27,0,0
510,22,-20,-7,1035,NW,54.08,0,0
511,21,-20,-7,1036,NW,59,0,0
512,19,-19,-7,1036,NW,63.92,0,0
513,22,-20,-5,1036,NW,67.94,0,0
514,25,-19,-4,1036,NW,75.09,0,0
515,22,-19,-4,1036,NW,84.03,0,0
516,26,-19,-3,1035,NW,95.21,0,0
517,32,-18,-3,1034,NW,105.04,0,0
518,30,-19,-2,1033,NW,114.87,0,0
519,32,-18,-2,1032,NW,124.7,0,0
520,30,-18,-2,1032,NW,133.64,0,0
521,32,-18,-2,1032,NW,139.45,0,0
522,37,-18,-3,1032,NW,144.37,0,0
523,49,-17,-5,1033,NW,149.29,0,0
524,47,-18,-4,1033,NW,153.31,0,0
525,39,-17,-4,1032,NW,159.12,0,0
526,35,-17,-4,1032,NW,164.04,0,0
527,48,-17,-7,1032,NW,168.06,0,0
528,49,-17,-4,1033,NW,172.08,0,0
529,24,-17,-8,1033,cv,0.89,0,0
530,23,-17,-5,1032,NW,4.92,0,0
531,20,-18,-6,1032,NW,8.05,0,0
532,19,-18,-5,1031,NW,12.97,0,0
533,16,-18,-6,1031,NW,16.1,0,0
534,22,-18,-7,1031,NW,20.12,0,0
535,24,-18,-7,1031,NW,24.14,0,0
536,24,-18,-6,1031,NW,25.93,0,0
537,41,-18,-2,1031,NW,30.85,0,0
538,23,-17,-1,1031,NW,38.9,0,0
539,19,-17,0,1030,NW,46.95,0,0
540,15,-19,1,1029,NW,55,0,0
541,19,-20,2,1027,NW,63.05,0,0
542,17,-19,2,1025,NW,71.1,0,0
543,17,-19,3,1024,NW,79.15,0,0
544,22,-19,3,1024,NW,86.3,0,0
545,0,-18,2,1024,NW,91.22,0,0
546,0,-18,1,1024,NW,96.14,0,0
547,0,-17,0,1024,NW,100.16,0,0
548,0,-18,0,1024,SE,1.79,0,0
549,0,-15,-3,1024,cv,0.89,0,0
550,0,-16,0,1023,NW,1.79,0,0
551,0,-16,0,1023,NW,4.92,0,0
552,0,-15,-2,1022,NW,6.71,0,0
553,0,-14,-7,1022,cv,0.45,0,0
554,0,-14,-8,1021,NW,1.79,0,0
555,0,-16,-11,1021,NW,3.58,0,0
556,0,-14,-9,1019,NW,4.47,0,0
557,0,-15,-10,1019,cv,0.89,0,0
558,0,-16,-12,1019,SE,0.89,0,0
559,0,-15,-12,1019,cv,0.89,0,0
560,0,-16,-13,1019,NE,1.79,0,0
561,0,-13,-7,1020,cv,0.89,0,0
562,0,-12,-4,1019,cv,1.78,0,0
563,0,-13,0,1019,cv,2.67,0,0
564,0,-16,4,1018,NW,4.02,0,0
565,0,-19,5,1017,NW,13.85,0,0
566,0,-18,5,1017,NW,22.79,0,0
567,0,-19,5,1017,NW,32.62,0,0
568,0,-20,5,1018,NW,40.67,0,0
569,0,-19,3,1020,NW,49.61,0,0
570,0,-18,1,1023,NW,61.68,0,0
571,0,-20,-1,1027,NW,76.88,0,0
572,0,-20,-2,1028,NW,89.84,0,0
573,0,-21,-3,1029,NW,98.78,0,0
574,0,-25,-4,1030,NW,113.98,0,0
575,0,-26,-5,1031,NW,129.18,0,0
576,0,-25,-5,1031,NW,141.25,0,0
577,0,-25,-6,1031,NW,150.19,0,0
578,0,-24,-6,1032,NW,162.26,0,0
579,0,-24,-6,1033,NW,172.09,0,0
580,0,-23,-6,1033,NW,181.92,0,0
581,0,-22,-7,1033,NW,187.73,0,0
582,0,-21,-7,1033,NW,192.65,0,0
583,0,-21,-7,1034,NW,196.67,0,0
584,0,-21,-6,1035,NW,201.59,0,0
585,0,-21,-4,1036,NW,207.4,0,0
586,0,-22,-3,1036,NW,216.34,0,0
587,0,-22,-2,1036,NW,222.15,0,0
588,0,-23,-1,1035,NW,230.2,0,0
589,0,-26,1,1033,NW,238.25,0,0
590,0,-25,2,1032,NW,245.4,0,0
591,0,-25,2,1031,NW,252.55,0,0
592,0,-24,2,1031,NW,257.47,0,0
593,0,-22,1,1031,SE,4.02,0,0
594,0,-19,-1,1031,SE,7.15,0,0
595,0,-19,-1,1031,SE,10.28,0,0
596,0,-17,-4,1031,SE,12.07,0,0
597,0,-18,-1,1031,SE,15.2,0,0
598,0,-18,-5,1030,cv,0.89,0,0
599,0,-18,-3,1030,SE,3.13,0,0
600,0,-16,-9,1030,cv,0.89,0,0
601,0,-16,-8,1029,cv,1.78,0,0
602,0,-16,-11,1029,cv,2.23,0,0
603,0,-16,-12,1029,cv,3.12,0,0
604,0,-16,-10,1028,NW,3.13,0,0
605,0,-17,-10,1028,NW,4.92,0,0
606,0,-17,-12,1027,NW,6.71,0,0
